Ticker,Date,Action,Shares_Sold,Sale_Price,Sale_Value,Fee,Allocated_Cost_Basis,Realized_PnL
SUZLON.NS,2023-10-03,TRIM,5449,26.950000762939453,146850.55415725708,146.85055415725708,136361.225,10342.478603099822
ANANTRAJ.NS,2023-10-03,TRIM,432,220.8495941162109,95407.02465820311,95.40702465820311,68020.11620291417,27291.501430630742
PFC.NS,2023-10-03,TRIM,12271,220.7539520263672,2708871.7453155518,2708.871745315552,2225019.440763382,481143.4328068546
ANANTRAJ.NS,2023-11-01,SELL,21404,237.87631225585935,5091504.587524413,5091.504587524413,3370144.8314980897,1716268.2514387988
MAZDOCK.NS,2023-12-01,SELL,5131,988.88037109375,5073945.184082031,5073.945184082031,3203022.533186513,1865848.7057114365
RVNL.NS,2023-12-01,SELL,29317,162.48741149902344,4763643.44291687,4763.64344291687,3058905.0656657014,1699974.733808252
NEULANDLAB.NS,2023-12-01,SELL,1046,5347.0537109375,5593018.181640625,5593.018181640625,3014094.1727671553,2573330.990691829
FORCEMOT.NS,2023-12-01,SELL,1771,3336.982421875,5909795.869140625,5909.795869140625,6504259.512727539,-600373.4394560549
SUZLON.NS,2023-12-01,TRIM,17209,39.400001525878906,678034.6262588501,678.0346262588502,447516.8564653246,229839.73516726663
PFC.NS,2023-12-01,TRIM,9993,325.7831726074219,3255551.243865967,3255.551243865967,1887463.1851873144,1364832.5074347865
JBMA.NS,2024-01-01,SELL,9528,807.9622802734375,7698264.6064453125,7698.264606445313,6313979.449426575,1376586.8924122928
KAYNES.NS,2024-01-01,TRIM,198,2669.050048828125,528471.9096679688,528.4719096679688,482513.03099999996,45430.406758300844
PFC.NS,2024-01-01,TRIM,2495,352.45965576171875,879386.8411254883,879.3868411254883,471251.94106297905,407255.5132213838
BSE.NS,2024-02-01,TRIM,610,821.8296508789062,501316.0870361328,501.31608703613284,494413.71518328186,6401.055765814788
SUZLON.NS,2024-02-01,TRIM,21660,48.20000076293945,1044012.0165252686,1044.0120165252686,598911.7680745932,444056.23643415014
PFC.NS,2024-02-01,TRIM,1489,397.6937561035156,592166.0028381348,592.1660028381348,281240.13636985,310333.70046544657
NEULANDLAB.NS,2024-02-01,TRIM,118,6215.22265625,733396.2734375,733.3962734375,621222.8190136718,111440.05815039063
KAYNES.NS,2024-03-01,SELL,2886,2945.5,8500713.0,8500.713,7051604.607655029,1440607.6793449717
KALYANKJIL.NS,2024-03-01,SELL,21652,397.393798828125,8604370.532226562,8604.370532226563,7238430.037522767,1357336.12417157
NEULANDLAB.NS,2024-03-01,SELL,1080,7236.5654296875,7815490.6640625,7815.4906640625,5685768.174023437,2121906.9993750006
PFC.NS,2024-04-01,SELL,36674,363.6973876953125,13338237.99633789,13338.237996337892,9495510.84720624,3829388.911135312
BSE.NS,2024-04-01,TRIM,1230,893.1704711914062,1098599.6795654297,1098.5996795654298,978676.0387714256,118825.04111443856
GVT&D.NS,2024-05-02,TRIM,5312,1140.8648681640625,6060274.1796875,6060.2741796875,4981344.380517258,1072869.524990554
BSE.NS,2024-05-02,TRIM,4433,942.2307739257812,4176909.0208129883,4176.909020812988,3527212.097458317,645520.0143338582
SUZLON.NS,2024-05-02,TRIM,56747,41.70000076293945,2366349.943294525,2366.349943294525,2007944.9557805778,356038.63757065265
IRFC.NS,2024-05-02,TRIM,20152,153.50167846679688,3093365.8244628906,3093.3658244628905,2821695.4947822266,268576.96385620115
KALYANKJIL.NS,2024-07-01,SELL,25033,494.9390258789063,12389808.634826662,12389.808634826662,10265779.364172364,2111639.4620194715
SUZLON.NS,2024-08-01,SELL,206159,67.9800033569336,14014689.512062073,14014.689512062074,7316732.571683239,6683942.250866771
GVT&D.NS,2024-08-01,TRIM,2075,1655.181640625,3434501.904296875,3434.501904296875,2215142.0397606036,1215925.3626319747
IRFC.NS,2024-08-01,TRIM,17280,183.3325958251953,3167987.255859375,3167.987255859375,2541818.6582577704,623000.6103457455
FORCEMOT.NS,2024-08-01,TRIM,229,9139.609375,2092970.546875,2092.970546875,2114871.5600407883,-23993.983712663176
BSE.NS,2024-08-01,TRIM,2798,876.0053100585938,2451062.8575439453,2451.0628575439455,2306167.4124946264,142444.3821917749
FORCEMOT.NS,2024-09-02,SELL,1139,8268.89453125,9418270.87109375,9418.27087109375,10518946.318281475,-1110093.718058819
GVT&D.NS,2024-09-02,TRIM,735,1684.3870849609375,1238024.507446289,1238.0245074462891,784640.6743248403,452145.80861400254
NBCC.NS,2024-09-02,TRIM,11045,122.17794036865234,1349455.3513717651,1349.4553513717651,1292478.1635619735,55627.732458419865
BSE.NS,2024-09-02,TRIM,1620,916.3878784179688,1484548.3630371094,1484.5483630371093,1335236.314596603,147827.50007746927
BSE.NS,2024-10-01,SELL,11284,1278.8865966796875,14430956.356933594,14430.956356933593,9300497.885128437,5116027.515448224
IRFC.NS,2024-10-01,SELL,50642,150.64675903320312,7629053.170959473,7629.0531709594725,7484234.572264416,137189.54552409705
WOCKPHARMA.NS,2024-10-01,TRIM,2559,968.7999877929688,2479159.168762207,2479.159168762207,2684898.1283880617,-208218.11879461678
GVT&D.NS,2024-10-01,TRIM,2266,1678.71142578125,3803960.0908203125,3803.9600908203124,2419041.861251821,1381114.2694776715
COCHINSHIP.NS,2024-10-01,TRIM,1074,1685.61572265625,1810351.2861328125,1810.3512861328124,2549487.5646349597,-740946.62978828
NBCC.NS,2024-10-01,TRIM,21154,117.76506042480467,2491202.088226318,2491.2020882263178,2475426.2627424165,13284.623395675328
NBCC.NS,2024-11-01,SELL,51069,98.0046615600586,5005000.061210632,5005.000061210632,5976058.608867941,-976063.5477185193
OIL.NS,2024-11-01,SELL,14247,449.4624633789063,6403491.715759278,6403.491715759278,7707458.038614808,-1310369.8145712884
WOCKPHARMA.NS,2024-11-01,TRIM,931,1250.199951171875,1163936.1545410156,1163.9361545410156,976803.5004022217,185968.71798425284
NEULANDLAB.NS,2024-11-01,TRIM,61,14521.962890625,885839.736328125,885.839736328125,761726.4938486328,123227.4027431641
