Date,Ticker,Action,Shares,Price,Trade_Value,Fee
2021-12-01,CGPOWER.NS,BUY,554,148.96676635742188,82527.58856201172,82.52758856201172
2021-12-01,POONAWALLA.NS,TRIM,749,186.2039031982422,139466.7234954834,139.4667234954834
2021-12-01,ADANIENT.NS,TRIM,196,1689.528564453125,331147.5986328125,331.1475986328125
2021-12-01,GPIL.NS,BUY,1573,257.93719482421875,405735.2074584961,405.7352074584961
2021-12-01,PGEL.NS,TRIM,2752,56.18690490722656,154626.3623046875,154.6263623046875
2022-01-03,GPIL.NS,SELL,6677,270.3060607910156,1804833.5679016113,1804.8335679016113
2022-01-03,POONAWALLA.NS,TRIM,1144,218.2926788330078,249726.82458496094,249.72682458496095
2022-01-03,JSWENERGY.NS,BUY,565,291.4330139160156,164659.65286254883,164.65965286254882
2022-01-03,PGEL.NS,TRIM,8520,78.03014373779297,664816.8246459961,664.8168246459961
2022-01-03,ADANIENSOL.NS,BUY,108,1731.0999755859375,186958.79736328125,186.95879736328126
2022-01-03,ATGL.NS,TRIM,16,1741.24853515625,27859.9765625,27.8599765625
2022-01-03,ADANIENT.NS,BUY,78,1713.3251953125,133639.365234375,133.639365234375
2022-01-03,CGPOWER.NS,TRIM,2319,193.716064453125,449227.5534667969,449.2275534667969
2022-01-03,TATAELXSI.NS,BUY,36,5597.17578125,201498.328125,201.498328125
2022-01-03,JBMA.NS,BUY,7871,245.89476013183597,1935437.656997681,1935.437656997681
2022-02-01,TATAELXSI.NS,SELL,473,7089.337890625,3353256.822265625,3353.256822265625
2022-02-01,CGPOWER.NS,BUY,2741,171.8353271484375,471000.6317138672,471.0006317138672
2022-02-01,PGEL.NS,BUY,1933,76.73114776611328,148321.30863189697,148.32130863189698
2022-02-01,POONAWALLA.NS,TRIM,1549,278.761962890625,431802.2805175781,431.80228051757814
2022-02-01,ATGL.NS,BUY,5,1861.921630859375,9309.608154296875,9.309608154296875
2022-02-01,JSWENERGY.NS,BUY,535,299.9615478515625,160479.42810058594,160.47942810058595
2022-02-01,ADANIENSOL.NS,TRIM,53,1986.9000244140625,105305.70129394531,105.30570129394532
2022-02-01,ADANIENT.NS,BUY,72,1743.0091552734375,125496.6591796875,125.4966591796875
